from	to
Q9VFF0	Q9VMI3
Q9VFF0	Q9VZU4
Q9VFF0	P35381
Q9VFF0	Q94514
Q9VFF0	Q94511
Q9VFF0	Q9VPE2
Q9VFF0	Q9VXI6
Q9VFF0	Q9VQ29
Q9VFF0	Q9VRL0
Q9VFF0	Q9VV75
Q24251	Q9W402
Q24251	Q9VPE2
Q24251	Q9V3W2
Q24251	Q9W125
Q24251	Q7JYH3
Q24251	Q9VX36
Q24251	Q9VFF0
Q24251	Q9VWD1
Q24251	Q9VXI6
Q24251	Q9VTB4
Q24251	Q9VZU4
Q24251	Q9VGS3
Q24251	Q9VF27
Q24251	Q9VMB9
Q24251	Q9VIQ8
Q24251	Q9VWI0
Q24251	Q94514
Q24251	Q9VXN2
Q24251	Q24439
Q24251	Q9W1N3
Q24251	P35381
Q24251	Q9W141
Q24251	Q94516
Q9VMI3	Q9W402
Q9VMI3	Q9W125
Q9VMI3	Q9VZU4
Q9VMI3	Q94511
Q9VMI3	Q9VWI0
Q9VMI3	Q9VPE2
Q9VMI3	Q9VX36
Q0E940	Q9W229
Q0E940	P09180
Q0E940	P38979
Q0E940	Q9W237
Q0E940	P31009
Q0E940	Q06559
Q0E940	Q95TP9
Q0E940	Q9W2D9
Q0E940	Q9VN50
Q0E940	Q9W4X7
Q0E940	O02195
Q0E940	Q9NJH0
Q0E940	Q9U9Q4
Q0E940	A1ZAX1
Q9VK19	Q8T4A9
Q9VK19	Q9VKJ4
Q9VK19	Q8IPX7
Q9VK19	Q9W1M9
P02516	O97125
Q94523	Q9VGS3
Q94523	P21914
Q7KMP8	Q9VRP3
Q7KMP8	Q9V436
Q7KMP8	Q9VW54
Q7KMP8	O18413
Q7KMP8	Q9V3V6
Q7KMP8	Q9V405
Q7KMP8	Q9V3H2
Q7KMP8	Q9V3Z4
Q7KMP8	P55035
Q7KMP8	Q9V3G7
Q9VHN7	Q9W1G0
Q9V3P6	Q9V436
Q9V3P6	O18413
Q9V3P6	Q7KMP8
Q9V3P6	Q9V405
Q9V3P6	P55035
Q9V3P6	Q9V3G7
Q9V3P6	Q9V3H2
Q9V3P6	P48601
Q9V3P6	Q9V3Z4
Q9V3P6	Q9V3V6
Q9V3P6	Q9VW54
Q9VPE2	Q9VVL7
Q9VPE2	Q9W1N3
Q9VPE2	O97418
Q9VPE2	Q94516
Q9VPE2	Q7JYH3
Q9VPE2	Q9VX36
Q9VPE2	Q9VRL0
Q9VPE2	Q9VQ29
Q9VPE2	Q9W402
Q9VPE2	Q9VWI0
Q9VPE2	Q94511
Q9VPE2	Q9W125
Q9VPE2	Q9VXK7
Q9VPE2	Q9VV75
Q9VPE2	Q9VZU4
Q9V436	Q9VW54
Q9V436	Q9V405
Q9VFF3	Q9VW53
Q9VFF3	Q29QQ9
Q9VFF3	Q9VK19
Q9VFF3	Q9W1M9
Q9VFF3	Q9VKJ4
Q9VFF3	Q9VC93
P05389	Q94518
P05389	Q9VFE4
P05389	P48149
P05389	Q9VZS5
P05389	P08879
P05389	Q9VBH8
P05389	O16797
P05389	Q9NJH0
P05389	Q95TP9
P05389	Q9VGS2
P05389	Q9GU68
P05389	P13008
P05389	Q9VA91
P05389	Q0E9B6
P05389	Q9W1B9
P05389	O76927
P05389	P50887
P05389	Q9W237
P05389	Q7JYK1
P05389	Q9V3G1
P05389	P55841
P05389	P48159
P05389	Q7KR04
P05389	Q9V9W3
P05389	P38979
P05389	Q7JZW2
P05389	Q9VBU9
P05389	P80455
P05389	Q9W229
P05389	Q24154
P05389	Q9VHE5
P05389	P41126
P05389	Q8T3U2
P05389	Q9VTP4
P05389	P41094
P05389	Q9VWG3
P05389	Q95RG1
P05389	Q8IGR0
P05389	P46222
P05389	P41093
P05389	P55828
P05389	P04359
P05389	Q06559
P05389	Q9VS34
P05389	P09180
P05389	P39018
P05389	P17704
P05389	P31009
P05389	P48588
P05389	Q9V597
P05389	P36241
P05389	Q9W0A8
Q9VZU4	Q94511
Q9VZU4	O97418
Q9VZU4	Q7JYH3
Q9VZU4	Q9W402
Q9VZU4	Q9W125
Q9VZU4	Q9W1N3
Q9U9Q4	Q95RG1
Q9U9Q4	P17704
Q9U9Q4	Q95TP9
Q9U9Q4	Q9W4X7
Q9U9Q4	Q9W2D9
Q9U9Q4	Q9VN50
P02828	P11147
P02828	Q9XZ03
P02828	Q9VUC1
P02828	Q9V9Q4
P02828	Q53ZT0
P19889	P08736
P19889	O02195
P19889	Q9VSR5
P19889	Q9VGS2
P19889	Q9GU68
P19889	Q8STG9
P19889	Q9VBH8
P19889	Q9VFE4
P19889	P48149
P19889	P50887
P19889	Q7KR04
P19889	Q9VHE5
