Source	Target
mRpS5	RpS7
mRpS5	EfTuM
mRpS5	RpL18A
mRpS5	RpL13
mRpS5	RpS4
mRpS5	RpS17
mRpS5	RpS6
mRpS5	RpS18
mRpS5	RpS11
mRpS5	RpL11
mRpS5	RpS3
mRpS5	mRpS34
mRpS5	mRpS18B
mRpS5	mRpS23
mRpS5	mRpS22
mRpS5	CG4679
mRpS5	mRpL44
mRpS5	mRpL12
mRpS5	mRpS10
mRpS5	bonsai
mRpS5	mRpS9
Not1	Iswi
Not1	eIF4G
Not1	pAbp
Not1	Prp8
Not1	me31B
Not3	frj
Not3	me31B
Not3	Not1
Hsc70-3	CG2852
Hsc70-3	Hsp60
Hsc70-3	Ost48
Hsc70-3	Rae1
Hsc70-3	CG2918
PyK	bel
PyK	poe
PyK	me31B
PyK	Men
PyK	Aldh
PyK	Ect3
PyK	CG6891
PyK	CalpB
PyK	ND-51
PyK	Rpn5
PyK	Vha68-2
PyK	Cat
PyK	Mdh2
PyK	Eno
LanA	LanB2
alphaCOP	deltaCOP
Srp19	RpS14a
Srp19	RpS15Aa
Srp19	RpS17
Srp19	RpL10Ab
Srp19	RpS10b
Srp19	RpS6
Srp19	RpS4
Srp19	sta
Srp19	RpS12
Srp19	RpL12
Srp19	RpS16
Srp72	RpS12
Srp72	RpS10b
Srp72	RpS6
Srp72	RpS13
Srp72	RpL10Ab
Srp72	RpL13
Srp72	sta
Srp72	RpS4
Srp72	RpS2
Srp72	RpL3
Srp72	RpS16
Srp72	RpL12
Srp72	Srp54k
Srp72	Srp19
Hsp83	Tcp-1zeta
Hsp83	Rack1
Hsp83	zip
Hsp83	ERp60
Hsp83	pont
Hsp83	Pdi
Hsp83	Tpi
Hsp83	HDAC6
Hsp83	bai
Hsp83	Cctgamma
Hsp83	Cnx99A
Hsp83	CG2918
Hsp83	Cct5
Hsp83	CG7033
Hsp83	Sgt
Hsp83	Hsp27
Hsp83	T-cp1
Hsp83	CalpB
Hsp83	Ect3
Hsp83	CG6891
Hsp83	Dlic
Hsp83	cpa
Hsp83	Cp1
Hsp83	Dhc64C
Hsp83	Hsp60C
Hsp83	cpb
Hsp83	cathD
Hsp83	Pfk
Hsp83	Gdi
Hsp83	Rac1
Hsp83	PyK
Hsp83	Rpn6
Hsp83	Hsp60
Hsp83	Rpn5
Hsp83	Rpt1
Hsp83	Rpn3
Hsp83	Rpt5
Hsp83	Hsp70Ab
Hsp83	Cat
Hsp83	CG8258
Hsp83	Hsc70-5
Hsp83	FKBP59
Hsp83	TER94
Hsp83	DnaJ-H
Hsp83	Hsc70-3
Hsp83	CG1416
Hsp83	Hop
CG11089	ade5
CG11089	ade3
CG11089	CG3011
ERp60	Pdi
ERp60	Ost48
ERp60	CG2852
ERp60	CG2918
ERp60	CaBP1
ERp60	Hsc70-3
ERp60	Gp93
zetaCOP	Klp10A
zetaCOP	Dlic
zetaCOP	p115
zetaCOP	cpa
zetaCOP	alphaCOP
zetaCOP	betaCOP
zetaCOP	deltaCOP
COX6B	ND-B16.6
CG7048	cpa
CG7048	Srp19
CG7048	Nlp
CG7048	mRpS23
CG7048	CG8498
CG7048	robl
CG7048	Tim9a
CG7048	eEF1delta
CG7770	RpS18
CG7770	pont
CG7770	CG7048
arm	Hsc70-3
arm	Prosalpha6
arm	Uch-L5
arm	Rpn5
arm	Prosbeta7
arm	Rpn12
arm	Rpt6R
arm	Rpt6
arm	syd
arm	Rpn2
arm	Rpn6
arm	Rpt1
arm	Rpt2
arm	Rpt5
arm	emb
arm	Rpt4R
arm	pont
arm	alpha-Cat
